t_s,t_hr_after_36h,equilibrium_active,separation_earth_mars_m,q_osc_earth_mars_m,e_osc_earth_mars,separation_mars_secondary_m,q_osc_mars_secondary_m,e_osc_mars_secondary,separation_earth_secondary_m,q_osc_earth_secondary_m,e_osc_earth_secondary
20400.0,5.666666666666667,,156092410.96920288,7018365.182941569,0.9156544258124982,9273940.79196158,8945833.317984302,0.43259537273853743,163402065.00126395,105148843.37058587,2.0332475205449994
20700.0,5.75,,155994240.98152813,7115752.403589841,0.914496890703396,9176714.022274407,8945864.466548136,0.4321059263268604,162781372.78581196,98967009.12466013,1.988499226030421
21000.0,5.833333333333333,,155895671.75733984,7224340.006820001,0.9132131987173902,9095632.650388734,8945851.135109946,0.43162292528890883,162132232.35650212,92456703.53949754,1.9326335813213587
21300.0,5.916666666666667,,155796637.61724997,7343808.40692806,0.9118079839268897,9031459.144791761,8945811.765214493,0.43115302008864165,161455991.657265,85643967.12504037,1.8666283387194909
21600.0,6.0,,155697059.10705638,7473572.07123707,0.9102889969430273,8984813.549500808,8945763.389945094,0.43070323453612896,160754348.4272786,78566443.96541531,1.7919274294218441
21900.0,6.083333333333333,,155596843.95385125,7612774.667608305,0.9086671183640825,8956151.029410837,8945722.016041694,0.43028072551627244,160029334.532061,71275154.3972077,1.7104217954385184
22200.0,6.166666666666667,,155495888.6137719,7760300.714215283,0.9069561739989035,8945744.5873711,8945703.098396707,0.42989251580311305,159283285.49851522,63836250.79634645,1.6243932303730755
22500.0,6.25,,155394080.35106456,7914804.644142734,0.9051725456593179,8953674.407074658,8945722.036882658,0.42954500297236353,158518796.18509442,56332541.29438805,1.5364194884481992
22800.0,6.333333333333333,,155291299.74495363,8074755.539315692,0.9033346025392134,8979824.775769828,8945794.61587501,0.42924456114871223,157738664.60599414,48864361.81994349,1.4492428690220711
23100.0,6.416666666666667,,155187423.4558633,8238495.49236255,0.9014619838124942,9023888.876190677,8945937.309563605,0.42899601767992174,156945827.65139195,41549027.87497856,1.365603567344666
23400.0,6.5,,155082327.08776894,8404304.940853199,0.8995748125435311,9085381.013492065,8946167.39255318,0.4288033406961817,156143292.44817972,34517863.92784668,1.288048904001536
23700.0,6.583333333333333,,154975887.96178502,8570470.367958056,0.8976928988242204,9163655.241279945,8946502.820881747,0.428669310669212,155334067.84702587,27909689.677266415,1.218729595922405
24000.0,6.666666666666667,,154867987.64115354,8735348.012985643,0.8958350062058513,9257928.845750552,8946961.8801048,0.4285954766277745,154521100.08796751,21860232.27778089,1.1592081134790782
24300.0,6.75,,154758514.0832382,8897418.70841026,0.8940182367961002,9367308.888042139,8947562.627393903,0.4285821791626699,153707215.9846918,16488312.688074969,1.1103141446901312
24600.0,6.833333333333333,,154647363.338954,9055330.380863443,0.8922575719694129,9490819.970541315,8948322.178910313,0.4286286322586401,152895075.9755097,11881548.637737878,1.0720865026568058
24900.0,6.916666666666667,,154534440.76693556,9207926.529975055,0.8905655839055453,9627431.55866586,8949255.908515176,0.4287330517123037,152087138.28793278,8085599.647846925,1.0438277055214529
25200.0,7.0,,154419661.7718181,9354260.700294329,0.8889523131277266,9776083.497530127,8950376.628160138,0.42889281568974635,151285634.42580092,5100420.778841122,1.0242659019719669
25500.0,7.083333333333333,,154302952.10882708,9493598.326976791,0.8874252917838445,9935708.74395318,8951693.815191675,0.42910464274537513,150492555.33344117,2884501.7653449094,1.011783418313952
25800.0,7.166666666666667,,154184247.81853977,9625408.230779942,0.8859896829352122,10105252.724651571,8953212.939853543,0.42936477396342376,149709646.9833513,1365115.745938406,1.0046531718250291
26100.0,7.25,,154063494.86644018,9749346.449462885,0.8846485024673617,10283689.082792688,8954934.930594122,0.4296691482485433,148938413.78201944,450975.75880450837,1.0012326733126637
26400.0,7.333333333333333,,153940648.56347692,9865235.096532237,0.8834028913045735,10470031.85837454,8956855.798289265,0.43001356263153356,148180128.06311065,43974.25718347019,1.0000907438415603
26700.0,7.416666666666667,,153815672.83871827,9973038.654538866,0.8822524098407177,10663344.352230214,8958966.425414037,0.43039381231486545,147435843.98699847,48096.21128215054,1.0000674742310385
27000.0,7.5,,153688539.42591378,10072839.665013256,0.8811953323510395,10862745.05162816,8961252.513922296,0.43080580774111177,146706414.33291116,375060.83059970225,1.0002829045510664
27300.0,7.583333333333333,,153559227.01452783,10164815.277621616,0.8802289253710911,11067411.058718132,8963694.676705778,0.431245668050053,145992508.90192002,947163.2544046344,1.0001137200846173
27600.0,7.666666666666667,,153427720.4042815,10249215.643640945,0.8793496997674605,11276579.476438794,8966268.651966183,0.43170979183762925,145294633.5034327,1698118.9662687208,0.9991543567488774
27900.0,7.75,,153294009.69153798,10326344.728524387,0.8785536310114113,11489547.185197653,8968945.61721443,0.43219490716610665,144613148.74499083,2572678.242593911,0.9971737832935469
