radius_key,dynamical_efficiency,sample,outcome,first_contact_time_hr_after_36h,tidal_passage_count,equilibrium_ever_active,outer_position_perturbation_m,outer_velocity_perturbation_m_s,inner_position_perturbation_m,inner_velocity_perturbation_m_s
r99,0.01,8,earth_secondary_contact,29.09055793907166,2,0,212679.49068287062,54.92559360133452,24995.410108921784,8.005688173731098
r99,0.01,9,earth_secondary_contact,28.703321695315047,2,1,111883.6873485778,40.672888772102354,74924.65400291864,11.782382944805056
r99,0.01,10,earth_secondary_contact,28.697750274077798,2,1,214950.5045388596,43.068227713138114,90999.6519771366,15.902587628848854
r99,0.01,11,earth_secondary_contact,29.016820904582016,2,0,233973.9920960704,29.120854930092783,27671.602150507908,13.971643881974284
r99,0.01,12,earth_secondary_contact,29.013712284058574,2,0,111403.03092837756,16.993087492196956,101818.13862449926,21.58012580690073
r99,0.01,13,earth_secondary_contact,29.183165951531244,2,0,97947.28536535862,36.14886701432488,28036.398259574045,17.847719047335094
r99,0.01,14,earth_secondary_contact,29.083495116354005,2,0,168313.17740656083,27.946283965519402,82470.91433200857,22.581217061663953
r99,0.01,15,earth_secondary_contact,28.9171896042301,2,0,200179.46142495627,35.714567381340736,58159.23928277778,8.982636502185912
r99,0.01,16,earth_secondary_contact,28.7966324380399,2,0,50477.09610541816,50.714802215082514,49614.74693345509,25.646151364656774
r99,0.01,17,earth_secondary_contact,29.66484610261085,2,0,195292.1903103024,60.56239135099013,7860.069845788783,16.359138064314493
r99,0.01,18,earth_secondary_contact,29.15996463945648,2,0,98207.76035929858,19.494500596138035,127665.03446933579,11.154161353377635
r99,0.01,19,earth_secondary_contact,28.10303536144194,2,1,219219.25058272702,66.67026151489455,64684.07027815238,26.63795432124396
r99,0.01,20,earth_secondary_contact,29.417884149032798,2,0,195451.0495711207,32.2352729515042,107523.93846440924,27.261692512358685
r99,0.01,21,earth_secondary_contact,28.229862707136288,2,1,119237.6527242448,66.06697607424826,96742.86304261065,17.068072352666118
r99,0.01,22,earth_secondary_contact,29.023471292080274,2,0,179727.97926133545,32.7965535774848,65766.80966947554,13.608380293286094
r99,0.01,23,earth_secondary_contact,28.825718686107596,2,1,91564.26639962911,46.035537388073465,58132.1955619765,9.299754602913417
